RptDt;TckrSymb;UpdActn;GrssTradAmt;TradQty;NtryTm;TradId;TradgSsnId;TradDt
2022-11-18;WSPZ22;0;3979,750;2;090000010;10;1;2022-11-18
2022-11-18;WSPZ22;0;3979,750;6;090000010;20;1;2022-11-18
2022-11-18;WSPZ22;0;3979,750;2;090000010;30;1;2022-11-18
2022-11-18;WSPZ22;0;3979,750;1;090000010;40;1;2022-11-18
2022-11-18;WSPZ22;0;3979,750;1;090000010;50;1;2022-11-18
2022-11-18;WSPZ22;0;3979,750;1;090000010;60;1;2022-11-18
2022-11-18;BGIZ22;0;301,500;1;090000017;150;1;2022-11-18
2022-11-18;BGIZ22;0;301,500;2;090000017;160;1;2022-11-18
2022-11-18;ICFZ22;0;193,100;1;090000017;70;1;2022-11-18
2022-11-18;WSPZ22;0;3979,750;1;090000170;70;1;2022-11-18
2022-11-18;CCMF23;0;88,130;1;090000377;1200;1;2022-11-18
2022-11-18;CCMF23;0;88,140;1;090000383;1210;1;2022-11-18
2022-11-18;CCMF23;0;88,190;1;090001753;1220;1;2022-11-18
2022-11-18;CCMF23;0;88,200;1;090001753;1230;1;2022-11-18
2022-11-18;CCMF23;0;88,240;1;090001753;1240;1;2022-11-18
